OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
79310580abcd5bac8cf38df4bdcb4ccde745f6ee,11.39569197,-0.459932367,0.438300062,-1.049355012,0.294014756,0.63584712,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,unidentified
00b5819148080b717d2e11c8e5cf25ee374ad05c,1.271750332,1.149543992,0.981825201,1.170823473,0.24166974,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q symbiosum
5d62ca4aa17aaf77474dbecf34d97b7da8bb46ce,2.330180817,0.340990133,0.54594588,0.624585962,0.532242835,0.769747697,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
8cb061cbd139dcb5a87e44b016402cf2b03bd407,8.979447392,1.51531454,0.550293015,2.753650328,0.00589347,0.038307553,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-81,unidentified
04ad1bf8ff4e32914011825abfdcb8dc2253c309,2.298225332,0.097299146,0.953971892,0.101993724,0.918761657,0.97173305,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
02ccc6b4a4e5bc0b23b8af6f0f600f6e036b2836,2.027864735,-1.333058463,0.769044331,-1.733396126,0.083025286,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
d28565e03340925758c915d26aaa3cb2f8ab09fe,2.642094238,-0.811515153,0.603548932,-1.344572262,0.178763406,0.482323906,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea,s__Dorea sp900066555
f0c4a15f1b5bf295e976f1b3f367bc7ca8822119,2.849831375,-0.068526158,0.895919611,-0.07648695,0.939031696,0.973054584,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,unidentified
2f10b70f625cb69f74d6b362e2b8eef0701eced4,20.88763771,1.446472789,0.477191848,3.031218563,0.002435689,0.025372535,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Clostridium_A,s__Clostridium_A leptum
ffd305a548903f3e385469f595688a2e0671f6db,3.236566948,4.223756111,0.890682176,4.742158566,2.11E-06,0.000248438,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,unidentified
7de51ee500c68a9da4fd52a4df1133cba2ab0fca,9.863697362,-0.033041718,0.621978781,-0.053123545,0.957633471,0.985191269,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,unidentified
bb075dfae405e92f0021a0f7cbc2896bfd2f8f6f,3.3802734,1.432206614,0.589406122,2.429914726,0.015102376,0.083063066,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
5306dd9efe1839e6fc783e22358007b036aca265,5.394298882,0.344672754,0.519158922,0.663906059,0.506750438,0.769747697,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UMGS1071,s__UMGS1071 sp900548305
4108dc84e615159b91e360f8a6d98cd5778a158d,8.408990501,-0.469024977,0.46159326,-1.016100142,0.309581701,0.641596859,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Coprococcus_A,s__Coprococcus_A catus
44b0e2a93441d8983fbf86c96daababc7a749f7a,4.974791371,3.638864901,0.784143431,4.640560333,3.47E-06,0.000248438,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,unidentified,unidentified,unidentified
04275ac29161113dc22eeb92d596def124b37373,1.251386211,-0.950090964,0.685545265,-1.385890929,0.165780211,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Agathobaculum,s__Agathobaculum butyriciproducens
7ff95b896e69c63b94586ec5f6443abe023e44b3,5.681674098,0.072134013,0.628719377,0.114731653,0.908657824,0.969687081,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
bf88d5ca54d011cefc78a0790f97b45fafeff6be,4.182213986,0.700234125,0.46469988,1.50685239,0.131848497,0.40987685,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_G
cf14a9e873ab926b813d08637c2bf5cbbe23c464,43.0759792,-1.431894843,0.537620493,-2.663393346,0.007735693,0.04809583,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,unidentified,unidentified,unidentified
9ed1d246a1d504a6654f3fb03b5cb9a45fd2fbc9,42.64385992,-0.401573026,0.567747863,-0.70730874,0.479374635,0.769747697,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900545585
73c67e201cca0a82775ce377f69ac7d17951bc17,9.85940894,-0.652537306,0.597718977,-1.091712545,0.274959469,0.624114351,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__Anaerotignum,s__Anaerotignum sp000436415
079bd0f00fc8de914fea8f5a1009e0a3ab1454c3,16.77191189,-1.690644095,0.517496786,-3.266965398,0.00108707,0.014131906,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter torques
921c29e652f197ee4523856074e9392db3efeb2f,1.773627587,1.59571927,0.746154914,2.138589777,0.032468906,NA,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,unidentified
1a358ec1f08c3036d5b3f6b0e80f5464c3a2d95f,4.104032872,0.776599074,0.635820215,1.221412997,0.221929689,0.556770973,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella_A,s__Hungatella_A sp003478355
cd97829047759d65aca47f1da1ff08750290eca8,13.66521973,0.17406439,0.354013322,0.491688811,0.622939349,0.81912697,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q sp003024715
628ae0d85fbaaaffd84e19d5b4ca6e42b317785d,12.73796257,3.349639142,0.828912601,4.041004005,5.32E-05,0.001268478,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Acutalibacter,s__Acutalibacter timonensis
1fdf887c0ec5b48463b13364399f1fb6fe68315a,6.838710056,-0.27759457,0.791818937,-0.350578342,0.725904707,0.902646723,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-110,s__CAG-110 sp900544945
cfc80063afd8df82ff7ebd4df57e3dc35bb0cfd8,10.63596252,2.620595777,0.788459597,3.323690633,0.000888347,0.01270336,d__Bacteria,p__Firmicutes_A,unidentified,unidentified,unidentified,unidentified,unidentified
472f14689cf6b1d15b188923eb8ed0e5067d3b76,65.21614241,-2.288890506,0.52081561,-4.394819324,1.11E-05,0.000442137,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter faecis
77a043db622126bd251156e182853e9e30fc3bdc,3.213102072,-0.540314548,0.586716026,-0.920913225,0.357095733,0.690063376,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,unidentified
6d6ecce432d3314e995e4e3057ea322a6db2a862,2.052233293,0.384522569,0.709235899,0.542164561,0.587705147,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp900066165
edae7c7d76de32511f1c15034eca3837e8e4dc87,0.753801885,-0.744285518,0.981299084,-0.758469593,0.448169909,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
28196788fccdbaed54e549b85503c506d92e157b,2.311533407,0.143370909,0.744283249,0.192629498,0.847249141,0.932387475,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900066775
50f645b0e0bfce9253e20467d72f853b702bb033,10.28105329,-1.282442163,0.781529453,-1.640939005,0.100810077,0.339954257,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Sporobacter,s__Sporobacter termitidis
d2d970804d34ed3bd39ee0297e07819f7f6a3d7e,2.084426666,-0.517435914,0.688429205,-0.751618191,0.4522807,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,unidentified
5a7e8467339131e6ae6274288151c734105932a6,66.902822,0.150245366,0.395925841,0.379478555,0.704332526,0.899281708,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_I
1dad97a1cd9c05a4f2be6d4858718f9b5133e206,1.005191679,-0.835891112,0.814036013,-1.026847828,0.304492124,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,unidentified
681578b1c71ad4beb2b3a41bfca736d912e7c855,8.366506512,-0.284838862,0.534975924,-0.532433048,0.594426101,0.801914457,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA9502,unidentified
c51dadc28964ac2c968dd9342c19d37204a83e9c,4.775260785,0.952865936,0.547903535,1.739112591,0.08201496,0.300721521,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__Anaerotignum,unidentified
a11b96a20ad9e1a5360be48e11d57aec1590c38c,5.801419323,0.545038111,0.861004393,0.633025936,0.526716706,0.769747697,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Anaeromassilibacillus,s__Anaeromassilibacillus sp002159845
5d4b092976cce043692a1155c61a929b236bc522,2.081152208,0.505162007,0.66945632,0.754585463,0.450497749,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
4b772c37b5ba290b4c4fe27759f0577057277c01,64.86210854,0.114464599,0.554658172,0.206369625,0.836502195,0.932387475,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900066775
dbd0570929f254d5170516fe4db84852b8d58ed1,1.508623105,0.043247004,0.724854801,0.059662989,0.952424049,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
a17359057e9470077839413e10686bd37a200de5,5.131289842,-0.491671863,0.427495555,-1.150121579,0.2500938,0.606159548,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,unidentified
3ab64f7f705d4414c88fbf3a92763f6f976e46ec,166.4945776,-0.428762316,0.644846654,-0.664905855,0.50611071,0.769747697,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
160d827ccaad7aaa278afdd322e2bf4a1668ff81,4.37937117,1.165439516,0.577050891,2.019647721,0.043419941,0.18815308,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides uniformis
26ae528aea66ad7a7c4434d0484d497058b0a5c3,8.159484648,-0.222517803,0.611171815,-0.364083875,0.715795378,0.901405224,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,unidentified
c4d58d8887b785b891ed9b37f0ea43d76c1398ca,1.311199607,0.514675812,0.701732674,0.733435723,0.463292718,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,s__Agathobacter rectalis
468699a5c64552538015fc49f70c7875f16ef092,0.905239826,-0.873563613,0.868527831,-1.005798067,0.314512717,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea,unidentified
c5c6e1d304afb6af0e6183e8aaa2a705e48b24c8,8.426120699,0.739994213,0.859698266,0.860760388,0.389370026,0.710472354,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__ER4,s__ER4 sp000765235
